priority,event_name,trigger,platform,screen,required_properties,optional_properties,notes
P0,baas_activate_cta_clicked,User taps any BukuSimpan activate CTA,iOS Android,Any screen with BaaS CTA,"user_id,source_touchpoint,platform,app_version,session_id",,source_touchpoint values: home_popup / bukulagen_home / cp_payment_banner / cp_payment_method / edc_fund_transfer / edc_cash_withdrawal / edc_bank_account / komisi_agen / komisi_nominal
P1,baas_promo_banner_clicked,User taps BukuSimpan promo/marketing banner,iOS Android,Any screen with promo banner,"user_id,source_touchpoint,platform,app_version,session_id",,Previously: banner_marketing_bukusimpan
P1,baas_overlay_viewed,BukuSimpan activation overlay appears,iOS Android,Overlay: Activation,"user_id,source_touchpoint,platform,app_version,session_id",,
P2,baas_learn_more_clicked,User taps Pelajari Tentang BukuSimpan,iOS Android,Overlay,"user_id,platform,app_version,session_id",,Previously: button_clicked_pelajari_tentang_bukusimpan
P2,baas_overlay_dismissed,User taps close on activation overlay,iOS Android,Overlay,"user_id,source_touchpoint,platform,app_version,session_id",,Previously: button_clicked_close
P2,baas_home_popup_dismissed,User taps close on homepage popup,iOS Android,Popup: Homepage,"user_id,popup_state,platform,app_version,session_id",,popup_state: register / approved / setup
P0,baas_register_started,User taps Aktifkan Sekarang on overlay,iOS Android,Overlay: BukuSimpan Aktivasi,"user_id,source_touchpoint,platform,app_version,session_id",,Top of registration funnel. Previously: button_clicked_aktifkan_sekarang
P0,baas_kyc_verify_started,User taps Verifikasi Akun (new user requiring KYC),iOS Android,Overlay: BukuSimpan Verifikasi,"user_id,source_touchpoint,platform,app_version,session_id",,Previously: button_clicked_verifikasi_akun
P1,baas_mobile_required_dismissed,EDC user sees mobile-only notice and backs out,Android,Page: Mobile Required Notice,"user_id,platform,app_version,session_id",,Measures device restriction impact. Previously: button_clicked_kembali (L2.2)
P1,baas_temp_closed_dismissed,User sees temporary closed notice and backs out,iOS Android,Page: Temporary Closed,"user_id,platform,app_version,session_id",,Previously: button_clicked_kembali (L2.4)
P1,baas_registration_form_viewed,Registration form screen appears,iOS Android,Form: Registration,"user_id,source_touchpoint,step_name,step_number,platform,app_version,session_id",,step_name=registration_form / step_number=1
P2,baas_phone_change_clicked,User taps Ubah on phone number field,iOS Android,Form: Registration,"user_id,platform,app_version,session_id",,
P1,baas_phone_change_confirmed,User confirms phone change (taps Ubah Nomor in popup),iOS Android,Popup: Change Phone,"user_id,platform,app_version,session_id",,
